"№";"Определение";"Дата";"Дело N";"Истец (должность)";"Ответчик";"Способ определения размера ЗП";"Размер / база расчёта";"Итог";"Ключевой вывод по п. 23"
"98";"88-9210/2023";"08.06.2023";"2-2809/2022";"П.С., вахтер";"ИП П.М.";"Обычное вознаграждение вахтера при отсутствии выплат";"Взыскано 80 988 руб.";"Акты без изменения";"При отсутствии расчётных документов ИП долг определяется по обычной оплате"
"99";"88-10494/2023";"07.06.2023";"2-1596/2022";"Г., работник";"ООО Новые технологии";"Фактическая база и средний заработок по ст. 139 ТК РФ";"Средний заработок рассчитан за период после прекращения работы";"Апелляция без изменения";"После признания отношений средний заработок рассчитывается по правилам ст. 139 ТК РФ"
"100";"88-8588/2023";"06.06.2023";"2-554/2022";"С., строительный работник";"ООО ВИАЛ групп";"Статистика по строительной специальности и сдельные объёмы";"Расчёт по доказанному периоду и объёму";"Акты без изменения";"При неоформленной строительной работе статистика применяется вместе с доказательствами периода и объёма"
"101";"88-8802/2023";"25.05.2023";"2-542/2022";"Ж., работник ремонта магазинов";"ООО ВИАЛ групп";"Статистика и сдельные объёмы";"Расчёт по обычной оплате за доказанный период";"Апелляция без изменения";"Отсутствие договора не исключает расчёт по обычной оплате при доказанном труде"
"102";"88-8155/2023";"18.05.2023";"2-4009/2022";"А.В., строительный работник";"ООО ВИАЛ групп";"Статистика по профессии и фактически выполненные работы";"Расчёт по доказанным объёмам";"Апелляция без изменения";"Статистика допустима только в связке с конкретной профессией и объёмом"
"103";"88-8346/2023";"24.05.2023";"2-543/2022";"С.А.П., работник";"Работодатель по делу 2-543/2022";"Статистика по профессии и доказанный период";"Расчёт требует учёта выплат";"Акты сохранены в пределах спора";"Важны конкретный период и выплаты, а не только профессиональная статистика"
"104";"88-8346/2023";"24.05.2023";"2-543/2022";"С.А.П., повторный материал";"Работодатель по делу 2-543/2022";"Повторная проверка статистики, объёмов и выплат";"Повторный материал, отдельный уникальный расчёт не выделяется";"Повторный материал";"Повторное рассмотрение уточняет расчёт, но не создаёт новую трудовую ситуацию"
"105";"88-8731/2023";"17.05.2023";"2-1871/2022";"П., строительный работник";"ООО РСК Респект";"Статистика по квалификации и доказанные периоды";"Расчёт за период без пропуска срока";"Акты без изменения";"Статистика применяется после отсечения периода с пропуском срока"
"106";"88-7600/2023";"10.05.2023";"2-550/2022";"П.А., отделочник";"ООО ВИАЛ групп";"Статистика по специальности; дополнительные коэффициенты не доказаны";"Расчёт за подтверждённую работу";"Акты без изменения";"Обычное вознаграждение взыскивается за подтверждённую работу, коэффициенты требуют доказательств"
"107";"88-7874/2023";"11.05.2023";"2-5228/2022";"Т., работник";"ИП А.А.";"Средняя зарплата 20 154 руб. в месяц";"Взыскано 185 671 руб.";"Акты без изменения";"Односторонняя рабочая тетрадь не заменяет документы о начислении и выплате"
"108";"88-5698/2023";"11.04.2023";"2-4029/2022";"Ю., водитель";"ООО Управление бизнес-авиацией и наземным транспортом";"Договор, фактические начисления и средний заработок";"Расчёт по документам и начислениям";"Акты сохранены в пределах спора";"При письменном договоре размер оплаты определяется документами и начислениями"
"109";"88-7188/2023";"18.04.2023";"2-2369/2022";"К., работник";"ООО Новые технологии";"Фактическая база и средний заработок по ст. 139 ТК РФ";"Средний заработок по подтверждённым начислениям";"Апелляция без изменения";"После признания отношений средний заработок рассчитывается по подтверждённым начислениям"
"110";"88-6610/2023";"25.04.2023";"2-1380/2022";"Я.К., Я.С., работники";"ООО Магнат";"Обычное вознаграждение по фактическому режиму и выплатам";"Расчёт по доказанному режиму";"Апелляция без изменения";"При разногласиях о ставке суд восстанавливает оплату по фактическому режиму"
"111";"88-2650/2023";"21.04.2023";"2-2822/2022";"Работник, неоформленная работа";"Организация";"Статистика и документы работодателя; требуется новый расчёт";"Денежная часть требует нового исследования";"Денежная часть отменена; новое рассмотрение";"Статистика не заменяет полной оценки документов о начислениях"
"112";"88-5495/2023";"28.03.2023";"2-1375/2022";"Работник, фактический допуск";"Работодатель";"Обычное вознаграждение за доказанный период";"Размер требует нового рассмотрения";"Акты отменены в соответствующей части; новое рассмотрение";"До выбора статистики сторонам должна быть обеспечена возможность представить документы"
"113";"88-4158/2023";"28.03.2023";"2-2291/2022";"Работник, слесарь";"ООО ПКФ КУБ-Сервис";"Штатный оклад 20 000 руб.; средний заработок по ст. 139 ТК РФ";"Расчёт среднего заработка по штатной базе";"Акты без изменения";"Штатное расписание может иметь приоритет как письменная база оплаты"
"114";"88-4317/2023";"21.03.2023";"2-1606/2022";"Я.К., Я.С., работники";"ООО Магнат";"Обычное вознаграждение и фактический пятидневный режим";"Расчёт по фактическому времени";"Акты без изменения";"Коллективный спор разрешается по совокупности фактических данных"
"115";"88-4425/2023";"21.03.2023";"2-1-666/2022";"Я.К., Я.С., работники";"ООО Магнат";"Обычное вознаграждение и фактически отработанное время";"Расчёт задолженности по каждому работнику";"Акты без изменения";"Расчёт задолженности должен быть индивидуальным для каждого работника"
"116";"88-4104/2023";"09.03.2023";"2-2370/2022";"Р., оператор станции ГТИ";"ООО Русгеология";"Вахтовый тариф, график и обычное вознаграждение требуют проверки";"Зарплата и средний заработок требуют нового расчёта";"Частичная отмена; новое рассмотрение";"Для вахты нужно установить профессию, тариф, допуски и фактическое время"
"117";"88-4217/2023";"09.03.2023";"2-1641/2021";"Б.Д., К.А., электрогазосварщики";"ООО Эксплуатационная Поволжская Компания";"Договор 150 000 руб.; штатная ставка 12 900 руб.; выплаты учтены";"Требуется новый расчёт денежных требований";"Денежная часть отменена; новое рассмотрение";"При конфликте договора и штатной ставки выбор базы должен быть мотивирован"
"118";"88-3338/2023";"14.03.2023";"2-1119/2022";"С., слесарь-сантехник по совместительству";"ООО НПО ПЕНТА";"Оклад 12 130 руб.; табели двух 11-часовых смен";"Выплаты 1 934,32 и 1 683,32 руб. учтены";"Акты без изменения";"При оформленном совместительстве приказ и табели важнее статистики"
"119";"88-3149/2023";"28.02.2023";"2-576/2022";"Г., администратор клининговой компании";"ИП К.А.";"Средний заработок по ст. 139 ТК РФ";"Вынужденный прогул 350 454,79 руб.";"Акты без изменения";"После признания отношений средний заработок за прогул считается по специальным правилам"
"120";"88-1859/2023";"09.02.2023";"2-2239/2022";"В., работник";"ООО Евротехцентр";"Обычное вознаграждение по профессии и фактическому периоду";"Расчёт по доказанному периоду";"Апелляция без изменения";"Статистика применяется после установления периода и фактической функции"
"121";"88-2227/2023";"09.02.2023";"2-1274/2022";"П., работник";"ИП Р.А.Г.";"Обычное вознаграждение и фактические начисления";"Средний заработок по подтверждённой базе";"Апелляция без изменения";"Средний заработок при восстановлении считается по специальным правилам"
"122";"88-1829/2023";"02.02.2023";"2-1233/2022";"Г., работник";"ООО Атмосфера уюта";"Обычное вознаграждение, статистика и фактические выплаты";"Расчёт по доказанному периоду";"Акты сохранены";"Обычное вознаграждение является восстановительной базой при отсутствии оклада"
"123";"88-1374/2023";"19.01.2023";"2-1182/2022";"Ф.В., Л., работники";"ООО Вертикаль";"Обычное вознаграждение по профессии и доказанные выплаты";"Индивидуальный расчёт по каждому работнику";"Акты без изменения";"В коллективном споре расчёт индивидуализируется по каждому работнику"
"124";"88-1078/2023 (88-21390/2022)";"17.01.2023";"2-2792/2021";"В., работник";"ООО ТехПромАвтоматика";"Статистика по профессии и фактические перечисления";"Расчёт с учётом перечислений";"Апелляция без изменения";"Статистическая база не отменяет учёта реальных перечислений"
"125";"88-20519/2022";"20.12.2022";"2-7328/2021";"К., работник";"ООО Кургантехстрой";"МРОТ первоначально; требуется статистика по профессии";"Размер зарплаты требует нового рассмотрения";"Денежная часть отменена; новое рассмотрение";"После установления отношений нельзя отказывать в зарплате без исследования обычного вознаграждения"
"126";"88-18283/2022";"29.11.2022";"2-3213/2021";"А., швея";"ИП М.";"Пересмотр размера не произведён; новые обстоятельства несущественны";"Новый расчёт не производился";"Апелляция без изменения";"Новые объяснения не создают автоматически основание для пересмотра оплаты"
"127";"88-14847/2022";"25.10.2022";"2-1-827/2021";"П., вахтовый работник";"ООО Пурнефтегазсервис; ООО РН-Юганскнефтегаз";"Фактическая вахтовая оплата, периоды приостановки и выплаты";"Расчёт с учётом режима и частичных выплат";"Апелляция без изменения";"Вахтовый расчёт учитывает режим, приостановку и фактически выплаченные суммы"
"128";"88-14033/2022";"20.10.2022";"2-255/2022";"Ф., организатор проекта";"Фонд Другой Мир";"Средняя зарплата родственных творческих профессий; база около 37 417 руб.";"Взыскано 421 838 руб.";"Акты без изменения";"Некоммерческий статус работодателя не исключает расчёт по обычному вознаграждению"
"129";"88-15140/2022";"04.10.2022";"2-2876/2021";"Г., водитель";"ИП Л.И.";"Средний заработок по ст. 139 ТК РФ и фактическая работа";"Зарплата 68 798,36 руб. и средний заработок за прогул";"Акты в неизмененной части без изменения";"После восстановления средний заработок определяется по фактической базе и специальным правилам"
"130";"88-14051/2022";"15.09.2022";"2-908/2021";"Ф., работник";"Управление ветеринарии Тюменской области; центр ветеринарии";"Статистика и фактически установленный период";"Расчёт по должности и периоду";"Акты сохранены в неизмененной части";"Статистическая база требует связи с должностью и периодом"
"131";"88-13668/2022";"06.09.2022";"2-7599/2021";"Р., менеджер";"ООО ААА";"Обычное вознаграждение и средний заработок по ст. 139 ТК РФ";"Денежная часть требует нового расчёта";"Денежная часть отменена; новое рассмотрение";"Дата увольнения влияет на период и размер среднего заработка"
"132";"88-13699/2022";"06.09.2022";"2-2792/2021";"В., руководитель отдела продаж";"ООО Техпромавтоматика";"Оклад 16 000 руб. плюс районный коэффициент; требуется проверка фактической ставки";"Зарплата и отпускные требуют нового расчёта";"Денежная часть отменена; новое рассмотрение";"Даже при штатном окладе нужно исследовать фактически согласованную оплату"
"133";"88-13222/2022";"01.09.2022";"2-65/2022";"О.А., штукатур";"ООО СтройМакс";"Обычное вознаграждение за фактический период";"Взыскано 23 128,87 руб.";"Апелляция без изменения";"Фактический допуск даёт основание для оплаты без договора"
"134";"88-12593/2022";"16.08.2022";"2-2109/2021";"Д.Р.С., Д.Р.РА., М., З., У., работники";"ООО Альянс Недвижимость";"Письменные оклады 13 442 и 13 292 руб.; фактические выплаты";"Расчёт по окладам и шестидневному режиму";"Акты без изменения";"При наличии письменных ставок статистика используется только восполняюще"
"135";"88-12484/2022";"16.08.2022";"2-628/2022";"Ч., инструктор батутного центра";"ООО Джампер";"Установленная ставка 100 руб. в час и фактический график";"Расчёт зарплаты и среднего заработка по часовой ставке";"Акты в неизмененной части без изменения";"При установленной часовой ставке средний заработок считается по ней, а не по МРОТ"
"136";"88-12384/2022";"09.08.2022";"2-4328/2021";"К., работник";"Учреждение соцобслуживания Пермского края";"Обычное вознаграждение по фактической функции";"Расчёт по должности и периоду";"Апелляция без изменения";"База оплаты должна быть связана с фактической трудовой функцией"
"137";"88-12200/2022";"02.08.2022";"2-2270/2021";"Юрист, работник у ИП Д.";"ИП Д.";"Оклад 20 000 руб. плюс премия 50%; обычное вознаграждение";"Расчёт по заявленному окладу и выполненной работе";"Апелляция без изменения";"Согласованный оклад и доказанная работа подтверждают оплату без письменного договора"
"138";"88-12348/2022";"26.07.2022";"2-4427/2021";"Ш.В.П., начальник охраны";"ООО ЧОО Омега";"Оклад 30 000-35 000 руб.; средний заработок и доплаты требуют проверки";"Зарплата, отпускные и средний заработок требуют нового расчёта";"Денежная часть отменена; новое рассмотрение";"Ошибка в дате увольнения влияет на весь период среднего заработка"
"139";"88-11795/2022";"21.07.2022";"2-3898/2021";"С.Н., работник";"Работодатель";"Статистика, фактическая работа и спорные перечисления";"Расчёт по доказанной трудовой природе платежей";"Апелляция без изменения";"Платёж учитывается как зарплата только после установления его трудовой природы"
"140";"88-10158/2022";"07.07.2022";"2-902/2021";"П., вахтовый работник";"Работодатели";"Вахтовая оплата, периоды приостановки и фактические выплаты";"Расчёт с учётом режима и выплат";"Апелляция без изменения";"Вахтовый расчёт учитывает режим и частичные выплаты"
"141";"88-10337/2022";"16.06.2022";"2-4269/2021";"К.Д., работник";"ИП К.А.";"Статистика по профессии, период и выплаты";"Расчёт по профессиональной базе";"Акты сохранены";"При отсутствии ставки исследуются профессиональная статистика и выплаты"
"142";"88-9716/2022";"16.06.2022";"2-2194/2021";"Л., охранник 4-го разряда";"ООО ЧОП Босфор";"Табели, экспертный расчёт и перевод 50 500 руб.";"Задолженность 175 466,67 руб.; проценты 10 565 руб.; требуется проверка";"Денежная часть отменена; новое рассмотрение";"Нельзя принимать один табель без проверки ставки и всех доказательств"
"143";"88-8478/2022";"09.06.2022";"2-2609/2021";"К.В.Н., К.Н., К.В.ИА., К.А., работники";"ООО Энергопромстрой";"Статистика строительной квалификации и фактические периоды";"Индивидуальный расчёт по каждому работнику";"Апелляция без изменения";"Общая статистическая база требует индивидуального расчёта каждого работника"
"144";"88-8386/2022, 88-8387/2022";"24.05.2022";"2-3191/2021";"Л., продавец-кассир";"ООО Тамерлан";"Договорная ставка и фактические перечисления";"Расчёт по установленной ставке";"Акты без изменения";"При доказанном договорном размере статистика не является основной базой"
"145";"88-2904/2022";"05.04.2022";"2-1641/2021";"Б.Д., К.А., электрогазосварщики";"ООО Эксплуатационная Поволжская Компания";"Договор 150 000 руб.; штатная ставка 12 900 руб.; выплаты учтены";"Денежные требования требуют нового рассмотрения";"Денежная часть требует нового рассмотрения";"При конфликте договора и штатного оклада выбор базы должен быть мотивирован"
"146";"88-2982/2022";"24.03.2022";"2-4223/2021";"Ю., водитель";"ООО Управление бизнес-авиацией и наземным транспортом";"Договор, фактические начисления и обычное вознаграждение";"Расчёт по договору и фактическим начислениям";"Апелляция без изменения";"При наличии договора статистика применяется только восполняюще"
"147";"88-4221/2022";"17.03.2022";"2-3213/2021";"А.Е.И., работник";"ИП М.А.";"Статистика по функции и подтверждённые выплаты";"Расчёт по доказанному периоду";"Апелляция без изменения";"Статистика должна быть привязана к реальной функции"
"148";"88-2733/2022";"15.02.2022";"2-595/2020";"Г., работник";"ООО Атмосфера уюта";"Обычное вознаграждение и фактические выплаты";"Расчёт с учётом выплат";"Акты сохранены";"При неоформленном труде выплаты вычитаются из восстановленной базы"
"149";"88-2268/2022";"15.02.2022";"2-2537/2021";"Ф.В., Л., работники";"Организация";"Статистика, период и перечисления";"Индивидуальный расчёт";"Апелляция без изменения";"Коллективный расчёт индивидуализируется по каждому работнику"
"150";"88-1286/2022";"25.01.2022";"2-360/2021";"К., работник";"ИП В.";"Обычное вознаграждение и фактические выплаты";"Зарплата требует нового расчёта";"Денежная часть требует нового рассмотрения";"Наличие штатной должности не освобождает от проверки фактической ставки"
"151";"88-18882/2021";"21.12.2021";"2-221/2021";"И., Т., Мавланов Давлан, работники";"ООО Гарант";"Статистика и фактические выплаты";"Расчёт по профессиональной базе";"Акты сохранены";"Статистика требует проверки профессиональной сопоставимости"
"152";"88-19652/2021";"21.12.2021";"2-650/2021";"П., кладовщик";"ИП Г.А.РА.";"25 000 руб. по доводам работника против 13 950 руб. по штатному расписанию";"Размер требует нового рассмотрения";"Денежная часть отменена; новое рассмотрение";"При споре о ставке нельзя выбрать одну цифру без проверки обычного вознаграждения"
"153";"88-18586/2021";"09.12.2021";"2-476/2021";"Б., стоматолог-ортопед";"ООО Ультра-Мед";"Часовая ставка 180 руб. и фактический график";"Взыскано 68 841,16 руб.";"Акты без изменения";"Подтверждённая часовая ставка является основной базой расчёта"
"154";"88-17413/2021";"25.11.2021";"2-277/2021";"Р., юрисконсульт";"ТСН Серебряная подкова";"Оклад 25 000 руб. плюс 15%; статистика юристов и МРОТ";"Расчёт по окладу и профессиональной статистике";"Акты без изменения";"МРОТ является нижней гарантией, но профессиональная статистика допускает более высокий расчёт"
"155";"88-16940/2021";"18.11.2021";"2-5/2021";"Б.Д., К.А., электрогазосварщики";"ООО Эксплуатационная Поволжская Компания";"Договор 150 000 руб.; штатная ставка 12 900 руб.; выплаты учтены";"Денежные требования требуют нового рассмотрения";"Денежная часть требует нового рассмотрения";"При конфликте договорного и штатного оклада выбор базы мотивируется вахтовыми условиями"
"156";"88-15749/2021";"28.10.2021";"2-4223/2021";"Ю., водитель";"ООО Управление бизнес-авиацией и наземным транспортом";"Договор, начисления и выплаты";"Расчёт по документам";"Апелляция без изменения";"При наличии договора статистика применяется восполняюще"
"157";"88-15011/2021";"12.10.2021";"2-202/2021";"А.Е.И., работник";"ИП М.А.";"Статистика по функции и подтверждённые выплаты";"Расчёт по доказанному периоду";"Апелляция без изменения";"Статистика привязывается к реальной функции"
"158";"88-13716/2021";"01.09.2021";"2-5592/2020";"Г., работник";"ООО Атмосфера уюта";"Обычное вознаграждение и фактические выплаты";"Расчёт с учётом выплат";"Акты сохранены";"Выплаты вычитаются из восстановленной базы"
"159";"88-12823/2021";"01.09.2021";"2-21/2021";"М., работник";"ИП Н., Б.; ООО Лесовод";"Статистика, период и перечисления";"Индивидуальный расчёт";"Апелляция без изменения";"Коллективный или неоформленный спор требует индивидуального расчёта"
"160";"88-11435/2021";"17.08.2021";"2-2318/2020";"Б., повар";"ИП П.";"Фактическая работа и система оплаты";"Выплаты за апрель-май 2020 года";"Акты без изменения";"Продолжение работы после формального увольнения даёт право на оплату"
"161";"88-10857/2021";"10.08.2021";"2-4732/2020";"Б., управляющая кафе";"ИП Х.Т.";"Фактические перечисления и обычное вознаграждение";"Расчёт по доказанной работе";"Апелляция без изменения";"Платёж не становится займом только по утверждению работодателя"
"162";"88-9387/2021";"03.08.2021";"2-2787/2019";"Г., отделочник";"ООО Корпорация Маяк";"Обычное вознаграждение микропредприятия";"Взыскано 83 148 руб.";"Акты без изменения";"П. 23 применяется к микропредприятию при отсутствии договора"
"163";"88-10102/2021";"13.07.2021";"2-2454/2020";"Б., менеджер по продажам";"ООО ГЕО ОПТ";"Фактическая работа и обычное вознаграждение менеджера";"Расчёт по фактической работе";"Апелляция без изменения";"Формальная самостоятельность компаний не исключает ответственности фактического работодателя"
"164";"88-8489/2021";"06.07.2021";"2-1583/2020";"П., бухгалтер";"ИП К.";"Обычное вознаграждение, период и выплаты";"Расчёт с учётом срока обращения";"Акты сохранены в части";"Статистика не отменяет проверки срока и фактических выплат"
"165";"88-9641/2021";"17.06.2021";"2-628/2020";"Б.Д., К.А., электрогазосварщики";"ООО Эксплуатационная Поволжская Компания";"Договор 150 000 руб.; штатная ставка и платежи";"Денежные требования требуют нового расчёта";"Денежная часть требует нового рассмотрения";"При конфликте договора и штатной ставки выбор базы мотивируется вахтовыми условиями"
"166";"88-9160/2021";"17.06.2021";"2-3206/2020";"П., работник";"ООО Экосервис";"Обычное вознаграждение и фактические выплаты";"Расчёт по функции и периоду";"Апелляция без изменения";"При фактическом труде статистика применяется к конкретной функции"
"167";"88-5937/2021";"18.05.2021";"2-25/2020";"О., работник";"ООО Астарта";"Обычное вознаграждение и доказанный период";"Расчёт с учётом выплат";"Апелляция без изменения";"Работодатель обязан подтвердить полный расчёт"
"168";"88-5948/2021";"11.05.2021";"2-799/2020";"А.Н.А., работник";"ИП К.Н.Г.";"Обычное вознаграждение и фактические выплаты";"Расчёт остатка долга";"Акты без изменения";"Выплаты учитываются при определении остатка долга"
"169";"88-5995/2021";"11.05.2021";"2-539/2020";"Б., работник";"ООО Элвест";"Фактические условия, обычное вознаграждение и выплаты";"Расчёт по установленным условиям";"Акты без изменения";"Формальный документ не исключает проверки фактических условий труда"
"170";"88-5768/2021";"04.05.2021";"2-1558/2020";"Т., работник";"ООО Адамант";"Обычное вознаграждение и средний заработок по ст. 139 ТК РФ";"Расчёт по трудовой базе и периоду";"Акты сохранены в неизмененной части";"Средний заработок считается после установления трудовой базы и периода"
"171";"88-1129/2021";"04.02.2021";"2-1452/2020";"С.С., работник";"ООО Строй-Групп-Плюс";"Штатная ставка и фактические перечисления требуют проверки";"Компенсация за отпуск требует нового расчёта";"Компенсация отменена; новое рассмотрение";"Штатная ставка не заменяет проверки реально полученной зарплаты"
"172";"88-1934/2021";"26.01.2021";"2-2787/2019(17)";"Г., отделочник";"ООО Корпорация Маяк; ООО ГУП ИнвестСтрой";"Обычное вознаграждение микропредприятия";"Расчёт требует проверки периода, функции и платежей";"Апелляция отменена; новое рассмотрение";"Статистический расчёт требует проверки периода, функции и платежей"
"173";"88-649/2021";"19.02.2021";"2819/2020";"Н., водитель";"ООО Матрикс-1";"Договорный оклад 10 400 руб. плюс районный коэффициент";"Задолженность 218 871,27 руб. требует нового расчёта";"Апелляция отменена; новое рассмотрение";"При наличии договора нельзя подменять его содержание односторонним расчётом"
"174";"88-17906/2020";"03.12.2020";"2-3674/2020";"И., Ш., В., О., консьержи";"ООО УК Проектсервис";"МРОТ с учётом частичных выплат";"Расчёт по МРОТ и фактическим выплатам";"Акты без изменения";"МРОТ допустим как нижняя база при невозможности установить обычное вознаграждение"
"175";"88-15511/2020, 88-18861/2020";"26.11.2020";"2-26/2020";"Л., водитель бензовоза";"ООО Астарта";"МРОТ и обычное вознаграждение; расчёт требует проверки";"Обезличенный расчёт требует нового рассмотрения";"Денежная часть отменена; новое рассмотрение";"Даже в обезличенном материале нужно проверить базу оплаты и выплаты"
"176";"88-16263/2020";"03.11.2020";"2-15/2020";"С., работник";"ООО Алапаевский теплоэнергетический комплекс";"Договорная база и фактические начисления";"Расчёт по договору и начислениям";"Апелляция без изменения";"При договоре статистика не заменяет начисления"
"177";"88-15535/2020";"27.10.2020";"2-792/2018";"С., работник";"ИП Л.Н.";"Обычное вознаграждение и доказанная работа";"Расчёт компенсации отпуска";"Апелляция без изменения";"Отсутствие договора не лишает работника отпускных"
"178";"88-14526/2020";"24.09.2020";"2-25/2020";"О., водитель бензовоза";"ООО Астарта";"МРОТ и обычное вознаграждение; требуется проверка";"Зарплата и отпускные требуют нового расчёта";"Денежная часть отменена; новое рассмотрение";"При отсутствии ставки нужно проверить статистику и все платежи"
"179";"88-14189/2020";"17.09.2020";"2-143/2019";"С., электрик-энергетик";"ООО УК Константа плюс";"МРОТ и обычное вознаграждение";"Расчёт по МРОТ и доказанному периоду";"Апелляция без изменения";"МРОТ применяется как нижняя гарантия при отсутствии оклада"
"180";"88-12840/2020";"20.08.2020";"2-1194/2019";"М., вальщик леса";"ИП Н., Б.";"База пособия по фактическому заработку и страховому закону";"Пособие требует нового расчёта";"Денежная часть требует нового рассмотрения";"П. 23 не заменяет специальные правила расчёта пособия"
"181";"88-10344/2020";"30.06.2020";"2-5416/2019";"З., работник";"ООО Трансстройсервис";"Фактические начисления за расчётный период";"Компенсация отпуска требует нового расчёта";"Денежная часть отменена; новое рассмотрение";"Для отпускных важны все выплаты расчётного периода"
"182";"88-4115/2020";"26.05.2020";"2-2737/2019";"Б., работник";"ООО Строитель";"Обычное вознаграждение и фактическая работа";"Расчёт по доказанному периоду";"Апелляция без изменения";"Статистика допустима после установления периода и профессии"
"183";"88-3752/2020";"05.03.2020";"2-1780/2019";"Ф., работник";"ООО ВУДМАРК - ДЕВЕЛОПМЕНТ";"Обычное вознаграждение и фактические выплаты";"Расчёт по доказанному периоду";"Апелляция без изменения";"Неоформленный труд не исключает взыскания обычного вознаграждения"
